zone_id,gid,tract,area,acres
805,230,438100.0,1907173.625,43.783000946
807,231,438201.0,969218.0,22.25
806,232,438202.0,6867334.0,157.651992798
808,233,438300.0,843919.75,19.3740005493
809,234,438400.0,1706974.75,39.1870002747
763,262,441922.0,1010474.25,23.1970005035
803,235,440100.0,27508364.0,631.505004883
802,236,440200.0,1136181.0,26.0830001831
766,271,442700.0,1230703.0,28.2530002594
22,1393,,354506.75,8.13799953461
797,237,440301.0,4278697.0,98.2249984741
796,238,440302.0,3591963.0,82.4599990845
793,239,440304.0,969862.25,22.2649993896
792,240,440305.0,789026.9375,18.1140003204
798,242,440307.0,1415350.75,32.4920005798
800,243,440308.0,1813863.625,41.6409988403
801,244,440309.0,3129598.75,71.8460006714
795,245,440331.0,1783397.875,40.9410018921
794,246,440332.0,2427270.75,55.7220001221
781,247,441100.0,15023697.0,344.897003174
782,248,441200.0,3234267.0,74.2490005493
783,249,441301.0,3029012.0,69.5370025635
784,250,441302.0,2225268.25,51.0849990845
787,251,441401.0,1877271.0,43.0960006714
185,698,32800.0,1250017.5,28.6959991455
799,252,441402.0,1563189.375,35.8860015869
790,253,441501.0,2565806.75,58.9029998779
788,254,441521.0,1714251.625,39.3540000916
789,255,441522.0,1206395.0,27.6949996948
786,256,441601.0,1273939.875,29.2460002899
37,567,10600.0,178687.953125,4.10200023651
785,257,441602.0,1679089.375,38.547000885
774,258,441700.0,2249400.75,51.638999939
83,614,17000.0,479746.8125,11.0129995346
776,259,441800.0,2081209.25,47.7779998779
778,260,441901.0,5307968.5,121.853996277
777,263,441923.0,1416029.125,32.5079994202
765,272,442800.0,1245134.25,28.5839996338
759,273,442900.0,2223499.5,51.0449981689
780,264,442000.0,7807960.0,179.246002197
24,576,11500.0,159421.4375,3.66000008583
779,265,442100.0,1840236.125,42.2459983826
753,277,443102.0,2306418.75,52.9480018616
756,266,442200.0,3967458.0,91.0800018311
761,267,442300.0,2403893.0,55.186000824
760,268,442400.0,1616438.5,37.108001709
764,269,442500.0,1982074.75,45.5019989014
775,270,442600.0,2525688.0,57.9819984436
758,275,443002.0,1576621.625,36.1940002441
755,276,443101.0,5261709.5,120.791999817
1129,364,325000.0,2918142.25,66.9909973145
741,296,450604.0,2137374.25,49.0670013428
23,1394,,367363.40625,8.43400001526
754,278,443103.0,15351235.0,352.415985107
731,289,450200.0,1626722.75,37.34400177
748,280,443301.0,1762022.125,40.4500007629
749,281,443302.0,1769651.25,40.6259994507
771,282,444100.0,2995735.5,68.7730026245
770,283,444200.0,2087947.25,47.9329986572
772,285,444400.0,979451.375,22.4850006104
773,286,444500.0,1980676.875,45.4700012207
767,287,444600.0,8416789.0,193.223007202
31,579,12000.0,128417.234375,2.94799995422
732,290,450300.0,3189076.0,73.2109985352
733,291,450400.0,3210332.75,73.6989974976
1131,411,347000.0,26274588.0,603.182006836
9,583,12400.0,453762.90625,10.4169998169
734,292,450500.0,12394855.0,284.54699707
737,295,450603.0,3853662.25,88.4680023193
727,318,451701.0,1196958.875,27.4780006409
1190,333,307202.0,718956.875,16.5049991608
740,297,450605.0,1783500.25,40.9440002441
29,578,11900.0,148778.984375,3.41499996185
738,298,450606.0,2077836.625,47.7010002136
739,299,450607.0,4875662.0,111.930000305
743,301,450703.0,9100444.0,208.917007446
742,303,450722.0,6837058.5,156.957000732
744,304,450741.0,2116756.5,48.59400177
1043,483,391000.0,1412238.5,32.4210014343
116,640,22801.0,578814.5,13.2880001068
725,307,451102.0,4909533.0,112.707000732
30,581,12200.0,184937.34375,4.24599981308
719,308,451201.0,3686373.75,84.6269989014
728,310,451300.0,12808991.0,294.053985596
721,311,451401.0,4565249.5,104.804000854
722,312,451402.0,2175742.25,49.9480018616
1063,465,376000.0,1219439.75,27.9939994812
716,313,451501.0,5067007.0,116.321998596
718,314,451502.0,5438230.5,124.845001221
717,315,451503.0,2736686.5,62.8260002136
108,1395,,459784.3125,10.5550003052
723,316,451601.0,3969398.0,91.125
1192,334,307204.0,1493295.5,34.28099823
1096,356,320002.0,8630165.0,198.121002197
724,317,451602.0,2986789.25,68.5670013428
395,1405,,1586559.125,36.422000885
726,319,451702.0,3803230.75,87.3099975586
1182,322,302003.0,17502002.0,401.790985107
109,1396,,657920.6875,15.1040000916
1198,343,313102.0,2044763.125,46.9410018921
1185,323,302004.0,12042017.0,276.446990967
1179,324,303100.0,39212528.0,900.195983887
1188,328,306001.0,3552311.75,81.5500030518
1194,330,307101.0,2139074.25,49.1059989929
1191,331,307102.0,1607784.875,36.9099998474
1197,332,307201.0,1495562.0,34.3330001831
1193,335,307205.0,3164144.25,72.638999939
1187,336,308001.0,3660463.5,84.0329971313
1184,337,308002.0,3948929.75,90.6549987793
1206,339,310000.0,1995999.0,45.8219985962
1203,340,311000.0,1611814.75,37.0019989014
1204,341,312000.0,1447989.75,33.2410011292
1199,342,313101.0,3580253.0,82.1910018921
1196,344,313103.0,14089370.0,323.446990967
1200,345,313202.0,20431794.0,469.04901123
1207,346,314102.0,5293427.5,121.519996643
1209,347,314103.0,7198422.5,165.253005981
45,589,13000.0,374857.25,8.60599994659
215,1398,,1057051.25,24.2670001984
1208,348,314104.0,2265564.75,52.0099983215
58,712,42700.0,420475.03125,9.65299987793
110,1397,,1115740.875,25.6140003204
1210,349,314200.0,7869828.5,180.666000366
1092,351,316000.0,1453876.5,33.3759994507
1093,352,317000.0,1596667.375,36.6539993286
1057,464,375000.0,643805.5,14.779999733
1094,354,319000.0,3107110.75,71.3290023804
1114,380,336102.0,649767.6875,14.9169998169
1095,355,320001.0,15471046.0,355.165985107
6,580,12100.0,123283.804688,2.82999992371
1124,357,321101.0,4271254.5,98.0550003052
1123,360,321200.0,2292652.75,52.6319999695
1127,361,322000.0,4340222.0,99.6380004883
1116,378,335000.0,1765775.125,40.5369987488
1128,362,323000.0,1913579.875,43.9300003052
1111,369,330000.0,2189793.0,50.2709999084
1112,368,329000.0,2515202.0,57.7410011292
1121,363,324000.0,3504658.0,80.4560012817
1130,365,326000.0,2376033.5,54.5460014343
1115,379,336101.0,673394.9375,15.4589996338
1122,366,327000.0,8181261.5,187.815994263
1113,367,328000.0,1068610.5,24.531999588
1431,501,109000.0,4771483.5,109.538002014
7,582,12300.0,184633.921875,4.2389998436
89,615,17100.0,605707.625,13.904999733
1110,370,331000.0,2881423.25,66.1480026245
1109,371,332000.0,3148120.25,72.2710037231
1099,372,333100.0,4000303.5,91.8339996338
1108,373,333200.0,2431348.0,55.8160018921
1107,374,334001.0,1294765.625,29.7240009308
1104,375,334003.0,1396724.625,32.063999176
1166,410,346202.0,15907745.0,365.191986084
1106,376,334004.0,2547257.25,58.4770011902
1105,377,334005.0,450620.6875,10.345000267
1120,381,336200.0,2013179.5,46.2159996033
36,568,10700.0,189727.8125,4.35599994659
1117,382,337100.0,2781244.75,63.8489990234
49,591,13200.0,548297.1875,12.5869998932
1118,383,337200.0,3206448.0,73.6100006104
46,590,13100.0,413203.84375,9.48600006104
1138,384,337300.0,4260058.5,97.7969970703
1119,385,338100.0,2835015.0,65.0830001831
1310,555,201300.0,4214312.0,96.7470016479
1137,386,338201.0,3699872.25,84.93699646
1140,387,338301.0,1952923.5,44.8330001831
1134,389,340001.0,2666934.5,61.2239990234
1133,390,340002.0,6521822.5,149.720001221
1149,391,341000.0,3859564.25,88.6029968262
1147,392,342000.0,5396734.5,123.891998291
1144,393,343001.0,2576919.0,59.158000946
1162,396,344000.0,1162184.0,26.6800003052
1172,397,345101.0,2158592.5,49.5540008545
1173,398,345102.0,1799477.75,41.3100013733
1174,399,345103.0,3133735.5,71.9410018921
1169,400,345105.0,3635000.75,83.4479980469
