parcel,zoning
145122,20563
144146,20267
145419,20285
145456,20521
145465,20565
102525,20495
126773,20563
126774,20563
62796,20243
127958,20521
139368,20649
138855,20625
138936,20482
97949,20495
106151,20521
106527,20540
106763,20540
21047,20502
53044,20388
113714,20495
128325,20505
128115,20521
128866,20521
128156,20521
129335,20563
128263,20521
128308,20521
128449,20521
129529,20563
128588,20521
128609,20521
128637,20521
128711,20521
128835,20521
130435,20267
129026,20521
129101,20535
129148,20521
129686,20521
129716,20521
139139,20474
129821,20521
129863,20521
129878,20521
129915,20521
130020,20521
130477,20521
130638,20521
130827,20521
130962,20521
130966,20521
131034,20521
111041,20521
102705,20495
105425,20495
146062,20521
106386,20543
145779,20593
146535,20579
110911,20495
87044,20495
87050,20495
119614,20567
119691,20567
119828,20495
106820,20521
107066,20334
64165,20277
64167,20277
98303,20495
106912,20563
139785,20239
138384,20256
141823,20563
141871,20563
102793,20495
141683,20593
141687,20593
140990,20241
140941,20482
141013,20651
140198,20117
140489,20117
139631,20643
140549,20647
140825,20345
141072,20167
87136,20495
87142,20495
147017,20563
126698,20246
147087,20563
147130,20563
147135,20563
147027,20540
147758,20563
147150,20290
147082,20579
132189,20495
132787,20495
105739,20355
140760,20521
107610,20521
107679,20521
86528,20521
86532,20521
87239,20521
87249,20521
98365,20495
114045,20540
142490,20293
141998,20545
90181,20495
132963,20521
142245,20521
145746,20264
108715,20246
127090,20288
55138,20495
147803,20540
103045,20495
148253,20545
148282,20279
148333,20593
148559,20593
90128,20495
109492,20563
98533,20495
132821,20521
133063,20521
133130,20521
133152,20521
113904,20495
87342,20500
110776,20540
114564,20540
114598,20540
147483,20456
55256,20495
114651,20540
149258,20579
149277,20579
107741,20495
107872,20495
94954,20495
114222,20495
133192,20521
133398,20521
134131,20521
111476,20495
133519,20521
111521,20495
87265,20495
87330,20495
95031,20495
133947,20521
134170,20521
90476,20495
90477,20495
90766,20521
134453,20521
103520,20505
87283,20505
111682,20495
132855,20495
134503,20521
134508,20521
134589,20521
134769,20521
134780,20521
134918,20521
135000,20521
149005,20191
135101,20521
105996,20336
149505,20593
149167,20139
150083,20164
149421,20579
27021,20495
87393,20495
55342,20495
55405,20495
98957,20495
98965,20495
99023,20495
90727,20495
149104,20567
90831,20521
87532,20495
87541,20495
150126,20153
55473,20495
150322,20144
149265,20179
150295,20139
60319,20491
102563,20521
150639,20489
106493,20543
83530,20502
142739,20299
141963,20467
83788,20434
142212,20550
142749,20579
142579,20545
134056,20326
140286,20173
142594,20545
131193,20267
131278,20267
16744,20502
107778,20277
86925,20417
122253,20286
133713,20495
111874,20505
111804,20540
123270,20509
146525,20563
87668,20509
85371,20563
85372,20563
99124,20495
111634,20591
115012,20579
114418,20591
115374,20540
87622,20495
115624,20540
114074,20563
115632,20579
91394,20521
151460,20290
151971,20540
90896,20495
100881,20527
14692,20563
151504,20563
103723,20495
85548,20433
151077,20223
152012,20579
151992,20563
151996,20563
152027,20521
152070,20286
79139,20510
99268,20495
87896,20495
103741,20495
91061,20495
152158,20521
115895,20540
152164,20521
103858,20495
142704,20567
134545,20495
152268,20521
150490,20164
79747,20199
149039,20278
150716,20644
111981,20495
153290,20592
40072,20491
153348,20143
152951,20267
151339,20495
95102,20521
43847,20502
93980,20540
94688,20540
115720,20495
55156,20504
54569,20521
54764,20521
26917,20256
52754,20246
53060,20496
55730,20495
99463,20495
23436,20499
151583,20495
24149,20502
151782,20495
99817,20256
90639,20388
91530,20521
26102,20502
90266,20502
91527,20495
27786,20495
99617,20495
99624,20495
99625,20495
99652,20495
55817,20495
153254,20495
27695,20495
27697,20495
99893,20495
91857,20505
91898,20521
48691,20495
48779,20495
49848,20505
49511,20521
50017,20495
50402,20495
50771,20495
50798,20495
50890,20495
50808,20505
48445,20267
51776,20505
48590,20271
51889,20505
51766,20521
49421,20499
51041,20495
51793,20495
52002,20495
52063,20495
4462,20495
294,20540
387,20540
4348,20563
52,20521
319,20521
395,20521
404,20521
