id,name,max_height,city,max_far,coverage,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13,type14
101269,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)-150-S,150.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101270,URBAN MIXED USE-40-X,40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101271,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)-200-S,200.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101272,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)-320-I,320.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101273,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)-350-S,350.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101274,COMMUNITY BUSINESS-65-X,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101275,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)-450-S,450.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101276,DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)-84-X,84.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101277,URBAN MIXED USE-68-X,68.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101278,DOWNTOWN- RETAIL-120-X,120.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101280,DOWNTOWN- RETAIL-200-X,200.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101281,DOWNTOWN- RETAIL-240-H,240.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101282,DOWNTOWN- RETAIL-80-130-F,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101283,DOWNTOWN SUPPORT-120-F,120.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101284,DOWNTOWN SUPPORT-130-F,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107529,"RESIDENTIAL- HOUSE, TWO FAMILY-28-X",28.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107530,"RESIDENTIAL- HOUSE, TWO FAMILY-30-X",30.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101279,DOWNTOWN- OFFICE-400-S,400.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101285,DOWNTOWN SUPPORT-200-S,200.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101286,DOWNTOWN SUPPORT-250-S,250.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101287,DOWNTOWN SUPPORT-320-I,320.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101288,DOWNTOWN SUPPORT-320-S,320.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101289,DOWNTOWN SUPPORT-340-I,340.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101290,DOWNTOWN SUPPORT-65-X,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101291,DOWNTOWN SUPPORT-90-X,90.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101292,CHINATOWN-COMMUNITY BUSINESS-200-S,200.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101293,CHINATOWN-COMMUNITY BUSINESS-250-S,250.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101294,CHINATOWN-COMMUNITY BUSINESS-50-N,50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101295,CHINATOWN-COMMUNITY BUSINESS-65-85-N,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101296,CHINATOWN-COMMUNITY BUSINESS-65-A,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101297,CHINATOWN-COMMUNITY BUSINESS-65-N,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101298,SOMA RESIDENTIAL- SERVICE-120-F,120.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101299,CHINATOWN-COMMUNITY BUSINESS-80-130-X,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101300,RESIDENTIAL TRANSIT ORIENTED DISTRICT-40-X,40.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
103662,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",40.0,101,1.79999995232,,f,t,t,t,f,t,f,f,f,t,f,t,t,t
103669,"RESIDENTIAL- HOUSE, ONE FAMILY-OS",0.0,101,0.75,,f,t,t,t,f,t,f,f,f,t,f,t,t,t
107531,"RESIDENTIAL- HOUSE, TWO FAMILY-40-X",40.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107532,"RESIDENTIAL- HOUSE, TWO FAMILY-45-X",45.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
107533,"RESIDENTIAL- HOUSE, TWO FAMILY-48-X",48.0,101,5.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101301,HEAVY COMMERCIAL-130-L,130.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101302,HEAVY COMMERCIAL-160-M,160.0,101,9.0,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101303,TRANSBAY DOWNTOWN RESIDENTIAL-65-X,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101305,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL-50-N,50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101306,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL-65-85-N,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101307,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL-65-A,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101308,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL-65-N,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101309,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL-OS,0.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101310,CHINATOWN- VISITOR RETAIL-50-N,50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101311,CHINATOWN- VISITOR RETAIL-65-N,65.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101312,LIGHT INDUSTRIAL-105-J,105.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101313,LIGHT INDUSTRIAL-130-L,130.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
101314,LIGHT INDUSTRIAL-50-X,50.0,101,7.5,,f,f,t,t,t,t,f,f,f,t,f,t,t,t
